1961      One Hundred and One Dalmatians                    Wright, Ben (I)               
                                                            Wickes, Mary                  
1967      The Jungle Book                                   Wright, Ben (I)               
                                                            Howard, Clint                 
1972      The Godfather                                     Russo, Gianni (I)             
                                                            Pacino, Al                    
                                                            Duvall, Robert                
                                                            Rocco, Alex                   
                                                            Coppola, Roman                
                                                            Jurgensen, Randy              
                                                            Caan, James (I)               
                                                            Sivero, Frank (I)             
                                                            Shire, Talia                  
                                                            Richards, Sal                 
                                                            Keaton, Diane                 
                                                            Brando, Marlon                
1973      The Exorcist                                      Symonds, Robert               
                                                            von Sydow, Max (I)            
                                                            Mahon, John (I)               
                                                            Mitchell, Donna (I)           
                                                            Burstyn, Ellen                
1975      Jaws                                              Cheshire, Denise              
                                                            Scheider, Roy                 
                                                            Dreyfuss, Richard             
                                                            Spielberg, Steven             
                                                            Grossman, Ted (I)             
1977      Star Wars                                         Fisher, Carrie                
                                                            Lawson, Denis                 
                                                            Fielder, Harry                
                                                            Rimmer, Shane                 
                                                            Beach, Scott                  
                                                            MacInnes, Angus               
                                                            Daniels, Anthony (I)          
                                                            Purvis, Jack                  
                                                            Rose, Pam                     
                                                            Ford, Harrison (I)            
                                                            LeParmentier, Richard         
                                                            Diamond, Peter (I)            
                                                            Guinness, Alec                
                                                            Goffe, Rusty                  
                                                            Tierney, Malcolm              
                                                            Hewett, Christine             
                                                            Tucker, Burnell               
                                                            Hagon, Garrick                
                                                            Baker, Kenny (I)              
                                                            Lyons, Derek                  
                                                            Hamill, Mark (I)              
                                                            Jones, James Earl             
                                                            Harris, Alan (III)            
                                                            Mayhew, Peter (II)            
                                                            Prowse, David                 
          Saturday Night Fever                              Michaels, Bert (I)            
                                                            Costanzo, Robert              
                                                            Pape, Paul                    
                                                            Vazquez, Alberto (IV)         
                                                            Travolta, John                
                                                            Dillon, Denny                 
          Close Encounters of the Third Kind                Garr, Teri                    
                                                            Dillon, Melinda               
                                                            Weathers, Carl                
                                                            DiCenzo, George               
                                                            Dreyfuss, Richard             
                                                            Henriksen, Lance              
                                                            Keane, James (I)              
                                                            Sommer, Josef                 
                                                            Balaban, Bob                  
1978      Superman                                          Ratzenberger, John            
                                                            O'Halloran, Jack              
                                                            Fielder, Harry                
                                                            Mitchell, Billy J.            
                                                            de Keyser, David              
                                                            Beatty, Ned                   
                                                            O'Neill, Robert (I)           
                                                            Donner, Richard               
                                                            Ensign, Michael               
                                                            Rose, Pam                     
                                                            Rucker, Bo                    
                                                            Boa, Bruce                    
                                                            Tucker, Burnell               
                                                            Jurgensen, Randy              
                                                            Kahan, Steve                  
                                                            Hollis, John (I)              
                                                            Stamp, Terence                
                                                            Hackman, Gene                 
                                                            Perrine, Valerie              
                                                            Marzello, Vincent             
                                                            Tuerpe, Paul                  
                                                            Brando, Marlon                
                                                            Calder, David                 
                                                            McClure, Marc (I)             
          Grease                                            Biehn, Michael                
                                                            Channing, Stockard            
                                                            Travolta, John                
                                                            Quinn, Bob (XI)               
                                                            Sperber, Wendie Jo            
          Jaws 2                                            Scheider, Roy                 
1979      Kramer vs. Kramer                                 Seneca, Joe                   
                                                            Alexander, Jane (I)           
                                                            Streep, Meryl                 
                                                            Williams, JoBeth              
                                                            Hoffman, Dustin               
                                                            Coe, George                   
          Moonraker                                         Morse, Ralph (I)              
                                                            Wilson, Michael G. (I)        
                                                            Weston, Paul (II)             
                                                            Moore, Roger (I)              
                                                            Keen, Geoffrey                
                                                            Cooper, George Lane           
                                                            Chiles, Lois (I)              
                                                            Gotell, Walter                
                                                            Maxwell, Lois                 
                                                            Llewelyn, Desmond             
                                                            Lonsdale, Michael (I)         
          Apocalypse Now                                    Ermey, R. Lee                 
                                                            Sheen, Martin                 
                                                            Ford, Harrison (I)            
                                                            Fishburne, Laurence           
                                                            Duvall, Robert                
                                                            Coppola, Roman                
                                                            Hall, Albert (I)              
                                                            Leake, Damien                 
                                                            Glenn, Scott                  
                                                            Camp, Colleen                 
                                                            Keane, James (I)              
                                                            Hopper, Dennis                
                                                            Brando, Marlon                
          Operación Ogro                                    Atkine, Féodor                
          Alien                                             Stanton, Harry Dean           
                                                            Holm, Ian                     
